0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:30:43 +0530] "GET /ORSProject4/ctl/SubjectListCtl HTTP/1.1" 200 11050
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:30:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:30:56 +0530] "GET /ORSProject4/ctl/TimeTableCtl HTTP/1.1" 200 8915
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:30:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:30:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:30:57 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 11617
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:30:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:31:01 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 11617
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:31:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:31:02 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 11617
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:31:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:31:03 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 11617
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:31:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:00 +0530] "GET /ORSProject4/ HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:03 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 5636
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:07 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 10206
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:11 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 10206
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:15 +0530] "GET /ORSProject4/ctl/TimeTableCtl HTTP/1.1" 200 8915
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:17 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 10206
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:37 +0530] "GET /ORSProject4/ctl/SubjectCtl HTTP/1.1" 200 7482
0:0:0:0:0:0:0:1 - - [19/Feb/2019:09:52:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
